dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std,feature_set,n_features
esc50,secondary,LOF,0.5438888888888889,0.09402788035444917,0.13325093272216043,0.024524810554272285,0.489766081871345,0.009530997668424917,0.08888888888888888,0.049690399499995326,mfcc,40
esc50,secondary,HBOS,0.518888888888889,0.03702893429885128,0.1177073255965678,0.007805697851082034,0.47368421052631576,0.0,0.0,0.0,mfcc,40
esc50,secondary,COPOD,0.5158333333333334,0.022408076971936863,0.11077416838217775,0.0051696144315276525,0.47368421052631576,0.0,0.0,0.0,mfcc,40
esc50,secondary,OCSVM,0.5061111111111111,0.07447475543787214,0.12393540014327815,0.025504769610899897,0.5,0.026152841842102825,0.13333333333333333,0.049690399499995326,mfcc,40
esc50,secondary,LODA,0.5038888888888888,0.039508945697442475,0.1402485430036588,0.026054356792294345,0.5146198830409358,0.029512615845301675,0.15555555555555553,0.06085806194501846,mfcc,40
esc50,secondary,ECOD,0.4438888888888889,0.03822095039873703,0.09692971708808673,0.005549408370231649,0.47368421052631576,0.0,0.0,0.0,mfcc,40
esc50,secondary,PCA,0.4341666666666667,0.06170481802826447,0.10114115927435383,0.01577630229132131,0.47953216374269003,0.013076420921051393,0.02222222222222222,0.049690399499995326,mfcc,40
esc50,primary,CBLOF,0.6719444444444445,0.025161515293238033,0.17223386384461495,0.014807862904355141,0.5131578947368421,0.012231871732954341,0.15555555555555553,0.06085806194501846,mfcc+chroma,64
esc50,primary,KNN,0.6655555555555555,0.04443793355087074,0.21157707946355195,0.05887035879750721,0.5321637426900585,0.03428666491098997,0.15555555555555553,0.06085806194501846,mfcc+chroma,64
esc50,primary,GMM,0.6547222222222222,0.030215915395861777,0.22967655137808868,0.0809711149228658,0.533625730994152,0.03444216078768933,0.15555555555555553,0.06085806194501846,mfcc+chroma,64
esc50,primary,IForest,0.6436111111111111,0.04972532578768445,0.1692665620084997,0.023117640308932565,0.5248538011695907,0.021311958679990115,0.15555555555555553,0.06085806194501846,mfcc+chroma,64
esc50,primary,HBOS,0.6244444444444445,0.03835949187989785,0.19644046673383117,0.0603576703689913,0.5116959064327485,0.035209340873661704,0.11111111111111112,0.07856742013183861,mfcc+chroma,64
esc50,primary,OCSVM,0.6063888888888889,0.058048245153769315,0.16930291007632858,0.0492239543038431,0.5175438596491228,0.026858440162096247,0.15555555555555553,0.06085806194501846,mfcc+chroma,64
esc50,primary,PCA,0.5952777777777778,0.06523787196308292,0.16333914775370537,0.04763905402813624,0.5116959064327485,0.025532528065165167,0.15555555555555553,0.06085806194501846,mfcc+chroma,64
esc50,primary,COPOD,0.59,0.05937723355123178,0.14717772496341924,0.01878305254929161,0.5073099415204678,0.023460243473510566,0.15555555555555553,0.06085806194501846,mfcc+chroma,64
esc50,primary,LOF,0.5852777777777778,0.029505309210461343,0.1508629890341768,0.02781284643717934,0.5175438596491228,0.03101345531519946,0.11111111111111112,0.07856742013183861,mfcc+chroma,64
esc50,primary,ECOD,0.5599999999999999,0.07200421155377985,0.1412846052082123,0.016892885828600997,0.5043859649122806,0.02334608102729726,0.13333333333333333,0.049690399499995326,mfcc+chroma,64
esc50,primary,LODA,0.5599999999999999,0.09731840480392312,0.15538000505419836,0.050881340428763244,0.5,0.026152841842102828,0.08888888888888888,0.09296222517045283,mfcc+chroma,64
esc50,secondary,CBLOF,0.6419444444444444,0.044001701005279614,0.17389275843052987,0.04623234910798032,0.5146198830409356,0.03888723999494264,0.13333333333333333,0.049690399499995326,mfcc+chroma,64
esc50,secondary,GMM,0.6205555555555555,0.038595120589697995,0.20249942434829435,0.06332190355652849,0.5175438596491228,0.035436256267663224,0.13333333333333333,0.049690399499995326,mfcc+chroma,64
esc50,secondary,IForest,0.6166666666666667,0.05047994957051741,0.1519633023860727,0.022667786764976883,0.510233918128655,0.02478921777458068,0.15555555555555553,0.06085806194501846,mfcc+chroma,64
esc50,secondary,LODA,0.6058333333333333,0.04729773374363673,0.19077659152522702,0.07488917533795442,0.5190058479532164,0.04692048694702112,0.13333333333333333,0.09296222517045283,mfcc+chroma,64
esc50,secondary,HBOS,0.6041666666666666,0.049700103708563516,0.16506409346991582,0.04571204662357274,0.5058479532163742,0.029961844344911153,0.11111111111111112,0.07856742013183861,mfcc+chroma,64
esc50,secondary,KNN,0.5872222222222222,0.07273721303771424,0.14170065732807496,0.024116391772173378,0.5014619883040936,0.018201607599398786,0.13333333333333333,0.049690399499995326,mfcc+chroma,64
esc50,secondary,COPOD,0.5725,0.060351976861666365,0.14140711578585372,0.01801053461697435,0.5043859649122806,0.02391144332426336,0.11111111111111112,0.07856742013183861,mfcc+chroma,64
esc50,secondary,OCSVM,0.5591666666666667,0.06689486407420363,0.13432168542048167,0.01912558795442411,0.5,0.018347807599431512,0.13333333333333333,0.049690399499995326,mfcc+chroma,64
esc50,secondary,PCA,0.5533333333333333,0.07367397734798634,0.13127105188260618,0.01871441319348491,0.4912280701754386,0.016015279459215416,0.11111111111111112,0.07856742013183861,mfcc+chroma,64
esc50,secondary,LOF,0.5416666666666666,0.05000964413163568,0.14827770134104284,0.04498880171944132,0.5058479532163742,0.02457271390931522,0.08888888888888888,0.049690399499995326,mfcc+chroma,64
esc50,secondary,ECOD,0.5341666666666667,0.07037981174480767,0.13355233828878144,0.015627186856066937,0.5029239766081871,0.020675636876799665,0.11111111111111112,0.07856742013183861,mfcc+chroma,64
esc50,primary,CBLOF,0.6741666666666667,0.07110921221423003,0.20637990039554346,0.06628049067999452,0.5263157894736843,0.02942194707236563,0.17777777777777776,0.06085806194501845,full,74
esc50,primary,GMM,0.6719444444444445,0.03205596475764236,0.23804363194349715,0.08011633346302209,0.5292397660818714,0.038887239994942674,0.13333333333333333,0.049690399499995326,full,74
esc50,primary,KNN,0.6525000000000001,0.06069460335600862,0.22677985048791444,0.06409922516524942,0.5365497076023391,0.03333846272219697,0.15555555555555553,0.06085806194501846,full,74
esc50,primary,HBOS,0.6461111111111111,0.03826886688732125,0.1463652533366415,0.013312759031229663,0.4780701754385965,0.004003819864803857,0.11111111111111112,0.0,full,74
esc50,primary,IForest,0.6425,0.05516005051520075,0.17303726032893735,0.022586962740941813,0.52046783625731,0.019061995336849855,0.15555555555555553,0.06085806194501846,full,74
esc50,primary,COPOD,0.5977777777777777,0.05574274021269274,0.155597254206899,0.01833256416607395,0.5073099415204678,0.01601527945921538,0.15555555555555553,0.06085806194501846,full,74
esc50,primary,LODA,0.5969444444444444,0.11927232430735563,0.15909872905026487,0.03589019437585197,0.4985380116959064,0.027642792984194517,0.11111111111111112,0.07856742013183861,full,74
esc50,primary,OCSVM,0.5900000000000001,0.06167198425521353,0.18204551528727234,0.05318279685746333,0.5292397660818714,0.03040443617410151,0.15555555555555553,0.06085806194501846,full,74
esc50,primary,PCA,0.5866666666666667,0.060839040828146576,0.16615348078551495,0.04769584301469143,0.5116959064327485,0.025532528065165167,0.15555555555555553,0.06085806194501846,full,74
